Ref,Questions,A,B,C,D,Answer,Comment
PHC0001,According to the Standard Treatment Guidelines and Essential Medicines List for South Africa Primary Healthcare Level 2020 Edition what is the first-line treatment for uncomplicated non-severe malaria at the PHC level?,Artemether/lumefantrine,Quinine,Doxycycline,Mefloquine,A,"The guideline states that artemether/lumefantrine is the recommended first-line treatment for uncomplicated malaria, to be taken with fat-containing food for adequate absorption[cite: 6]."
PHC0002,What is the recommended treatment for impetigo in a patient with no known drug allergies?,Topical mupirocin,Oral penicillin V,Oral amoxicillin,Topical chloramphenicol,A,Topical mupirocin is recommended for limited impetigo[cite: 5].
PHC0003,Which of the following is the standard prophylaxis for an HIV-exposed infant?,Cotrimoxazole from birth,Nevirapine at birth,Zidovudine from birth,Cotrimoxazole from 6 weeks of age,D,The guidelines state that cotrimoxazole prophylaxis for HIV-exposed infants should be initiated from 6 weeks of age[cite: 15].
PHC0004,According to the guidelines which of the following is a risk factor for severe COVID-19 disease?,Being elderly,Being a healthcare worker,Being a teenager,Being a vegetarian,A,The guidelines identify the elderly as being at high risk for severe COVID-19 disease[cite: 7].
PHC0005,What is the correct treatment for an acute gout attack?,Allopurinol,Colchicine,Probenecid,Indomethacin,B,The guidelines recommend colchicine as the treatment for acute gout[cite: 14].
PHC0006,"A patient presents with acute, uncomplicated cystitis. Which of the following is a recommended treatment?",Ciprofloxacin,Trimethoprim/sulfamethoxazole (Co-trimoxazole),Amoxicillin/clavulanic acid,Nitrofurantoin,D,"Nitrofurantoin is a recommended treatment for acute, uncomplicated cystitis[cite: 13]."
PHC0007,What is the recommended first-line treatment for scabies?,Permethrin 5% cream,Calamine lotion,Benzyl benzoate 25% lotion,Oral ivermectin,C,Benzyl benzoate 25% lotion is recommended as the first-line treatment for scabies[cite: 8].
PHC0008,Which of the following is a sign of severe malaria?,Mild fever,Headache,Muscle and joint pains,Jaundice,D,The guideline lists jaundice as a clinical feature of severe malaria[cite: 6].
PHC0009,According to the guidelines what is a key instruction for a patient on chronic therapy?,Take medication when symptoms appear,Stop medicine when feeling better,Inform other healthcare providers about all conditions and medicines,Adjust doses as needed without consulting a doctor,C,The guideline states that every patient on chronic therapy must inform other healthcare providers about any other condition/disease and its management when seeking medical attention for other complaints[cite: 5].
PHC0010,What is the recommended first-line oral therapy for a child with tinea capitis?,Topical clotrimazole,Oral griseofulvin,Topical ketoconazole,Oral fluconazole,B,Oral griseofulvin is the recommended first-line treatment for tinea capitis in children[cite: 5].
PHC0011,What is the first-line treatment for a patient with an acute dental abscess at a PHC level?,Oral amoxicillin,Oral penicillin V,Topical antiseptic,Referral for drainage and antibiotics,D,The guidelines recommend referral for drainage and antibiotics as the first line of management for a dental abscess[cite: 1].
PHC0012,What is the recommended treatment for herpes simplex infections of the mouth and lips?,Oral aciclovir,Topical aciclovir,Oral antibiotic,Oral antiviral therapy,A,The guideline suggests oral aciclovir for herpes simplex infections of the mouth and lips[cite: 8].
PHC0013,What is the recommended treatment for an adult with an uncomplicated urinary tract infection?,Trimethoprim,Ciprofloxacin,Nitrofurantoin,Cefalexin,C,Nitrofurantoin is a recommended first-line agent for uncomplicated urinary tract infection in adults[cite: 13].
PHC0014,Which of the following is the recommended treatment for moderate persistent diarrhoea in a child?,Oral rehydration solution (ORS) only,Ciprofloxacin,Zinc sulphate,Oral antibiotic,C,The guideline recommends zinc sulphate as an adjunct to ORS for persistent diarrhoea in children[cite: 2].
PHC0015,Which of the following is a key component in the management of Chronic Kidney Disease (CKD) at the PHC level?,Dialysis,ACE-inhibitors,Surgical intervention,Immunosuppressants,B,The guideline states that ACE-inhibitors are used in the management of Chronic Kidney Disease[cite: 4].
PHC0016,Which of the following is the correct management for uncomplicated gingivitis?,Chlorhexidine mouthwash,Systemic antibiotics,Surgical debridement,Pain medication only,A,Uncomplicated gingivitis is managed with chlorhexidine mouthwash[cite: 1].
PHC0017,What is the recommended first-line treatment for chronic anal fissure?,Topical antibiotic,Bulk-forming laxatives,Topical anaesthetic,Oral painkiller,B,Bulk-forming laxatives are recommended as the first-line treatment for chronic anal fissure[cite: 2].
PHC0018,Which medicine is recommended for the treatment of uncomplicated bacillary dysentery?,Ciprofloxacin,Metronidazole,Azithromycin,Amoxicillin,C,The guideline recommends azithromycin as a treatment for bacillary dysentery[cite: 2].
PHC0019,What is the recommended treatment for a patient with taenia (tapeworm) infestation?,Albendazole,Praziquantel,Mebendazole,Metronidazole,B,The guideline recommends praziquantel for the treatment of tapeworm infestation[cite: 2].
PHC0020,What is the primary intervention for a patient with acute diarrhoea without blood?,Oral rehydration solution (ORS),Loperamide,Oral antibiotics,Intravenous fluids,A,The primary intervention for acute diarrhoea is oral rehydration solution (ORS)[cite: 2].
PHC0021,What is the recommended treatment for oral candidiasis (thrush)?,Nystatin oral suspension,Oral fluconazole,Oral amphotericin B,Topical chlorhexidine,A,Nystatin oral suspension is the recommended treatment for oral thrush[cite: 1].
PHC0022,According to the guidelines what is the most common cause of treatment failure in malaria?,Vomiting the oral treatment,Using the wrong dose,Taking the medicine at the wrong time,Not taking the full course,A,The guideline states that vomiting oral treatment is one of the commonest reasons for treatment failure in malaria[cite: 6].
PHC0023,What is the recommended management for a child with uncomplicated Severe Acute Malnutrition (SAM)?,Admission to hospital,Outpatient care with RUTF,Oral antibiotics,Intravenous fluids,B,Uncomplicated SAM is managed on an outpatient basis with ready-to-use therapeutic food (RUTF)[cite: 3].
PHC0024,What is the first-line antihypertensive medication recommended for a patient with hypertension and diabetes mellitus?,Amlodipine,Hydrochlorothiazide,ACE-inhibitor,Atenolol,C,ACE-inhibitors are the first-line therapy for hypertension in adults with diabetes[cite: 4].
PHC0025,What is the recommended treatment for a patient with post-herpes zoster neuropathy?,Acyclovir,Amitriptyline,Ibuprofen,Carbamazepine,B,The guideline states that amitriptyline is recommended for post-herpes zoster neuropathy[cite: 9].
PHC0026,Which of the following is NOT a first-line treatment for hypertension in adults?,Thiazide diuretic,ACE-inhibitor,Beta-blocker,Angiotensin II Receptor Blocker (ARB),C,"The guideline states that beta-blockers are NOT a first-line treatment for hypertension, unless there are co-morbidities[cite: 4]."
PHC0027,According to the guidelines what is a key management step for a patient with acute myocardial infarction (AMI)/ST-elevation myocardial infarction (STEMI) at the PHC level?,Immediate referral,Streptokinase,Aspirin,Nitroglycerin,A,The guidelines recommend immediate referral of a patient with an AMI/STEMI[cite: 4].
